,Heading,Subheading,Publisher,Published,Found
94,The Rise of Ruger: From Humble Beginnings to Firearm Industry Giant - MSN,"... Ruger. In 1949, he founded Sturm, Ruger & Co. along with Alexander McCormick Sturm. The company quickly made a name for itself in highly ...",www.msn.com,2024-07-31 09:06:33+00:00,2024-07-31 15:13:04
95,How Cash for Scrap Cars Programs Help Reduce Toronto's Carbon Footprint,"Sturm, Ruger & Company, Inc. to Report Second Quarter Results and File ... INSC: Useful Resources. - Assignmentgeek.com is the best homework writing ...",theinscribermag.com,2024-07-31 16:18:50+00:00,2024-07-31 19:13:13
96,Sturm Ruger &amp; Company Inc reports results for the quarter ended in June - Earnings Summary,FORECAST CHANGESRECOMMENDATIONSWall Street's median 12-month price target for Sturm Ruger & Company Inc is $62.00 This summary was machine ...,www.tradingview.com,2024-07-31 21:55:05+00:00,2024-08-01 00:13:07
97,Sturm Ruger: Q2 Earnings Snapshot - CT Insider,"The Southport, Connecticut-based company said it had profit of 47 cents per share. The firearm maker posted revenue of $130.8 million in the period.",www.ctinsider.com,2024-07-31 21:50:28+00:00,2024-08-01 00:13:07
98,Sturm Ruger: Q2 Earnings Snapshot - Yahoo Finance,"SOUTHPORT, Conn. AP) — Sturm Ruger & Co. (RGR) on Wednesday reported earnings of $8.3 million in its second quarter.",finance.yahoo.com,2024-07-31 21:45:11+00:00,2024-08-01 00:13:07
99,Sturm Ruger: Q2 Earnings Snapshot | | thewesterlysun.com,"(AP) — Sturm Ruger & Co. (RGR) on Wednesday reported earnings of $8.3 million in its second quarter. The Southport, Connecticut-based company said ...",www.thewesterlysun.com,2024-07-31 21:33:37+00:00,2024-08-01 00:13:07
100,"Sturm Ruger &amp; Co Inc Q2 Income Drops, Misses Estimates - RTTNews",Sturm Ruger & Co Inc (RGR) released a profit for second quarter that decreased from the same period last year and missed the Street estimates.,www.rttnews.com,2024-07-31 21:28:44+00:00,2024-08-01 00:13:07
101,Sturm Ruger: Q2 Earnings Snapshot - MarketScreener,"(AP) — Sturm Ruger & Co. (RGR) on Wednesday reported earnings of $8.3 million in its second quarter. The Southport, Connecticut -based company said it ...",www.marketscreener.com,2024-07-31 21:23:31+00:00,2024-08-01 00:13:07
102,"Sturm, Ruger &amp; Company, Inc. Reports Second Quarter Diluted Earnings of 47¢ Per ... - Morningstar","Sturm, Ruger & Company, Inc. (NYSE-RGR) announced today that for the second quarter of 2024, net sales were $130.8 million and diluted earnings were ...",www.morningstar.com,2024-07-31 21:21:45+00:00,2024-08-01 00:13:07
103,"Sturm, Ruger &amp; Company, Inc. Reports Second Quarter Diluted Earnings of 47¢ Per ... - Markets data","--(BUSINESS WIRE)--Jul. 31, 2024-- Sturm, Ruger & Company, Inc. (NYSE-RGR) announced today that for the second quarter of 2024, net sales were ...",markets.ft.com,2024-07-31 21:13:12+00:00,2024-08-01 00:13:07
104,Sturm Ruger (RGR) Misses Q2 EPS by 29c - StreetInsider,"For earnings history and earnings-related data on Sturm Ruger (RGR) click here. Categories. Earnings. Next Articles. Sturm, Ruger & Company, Inc.",www.streetinsider.com,2024-07-31 21:09:47+00:00,2024-08-01 00:13:07
105,The Returns On Capital At Sturm Ruger (NYSE:RGR) Don't Inspire Confidence,"In a perfect world, we'd like to see a company investing more capital into its business and ideally the returns earned from that capital are also ...",finance.yahoo.com,2024-07-31 19:13:56+00:00,2024-08-01 00:13:07
106,"RGR Stock Earnings: Sturm Ruger &amp; Co Misses EPS, Misses Revenue for Q2 2024",RGR stock results show that Sturm Ruger & Co missed analyst estimates for earnings per share and missed on revenue for the second quarter of 2024.,investorplace.com,2024-08-01 01:55:09+00:00,2024-08-01 03:13:04
107,"Sturm, Ruger Sees Q2 Profits Slide on 8 Percent Sales Decline | SGB Media Online","Sturm, Ruger & Company Inc. reported earnings fell in the second quarter ended June 29 as sales slid 8.4 percent. Sales in the quarter reached ...",sgbonline.com,2024-07-31 22:26:27+00:00,2024-08-01 03:13:04
108,"Sturm Ruger &amp; Co Inc Q2 Income Drops, Misses Estimates - Nasdaq",(RTTNews) - Sturm Ruger & Co Inc (RGR) released a profit for second quarter that decreased from the same period last year and missed the Street ...,www.nasdaq.com,2024-07-31 21:56:23+00:00,2024-08-01 03:13:04
109,Sturm Ruger: Q2 Earnings Snapshot - CTPost,"(AP) — Sturm Ruger & Co. (RGR) on Wednesday reported earnings of $8.3 ... The Southport, Connecticut-based company said it had profit of 47 cents per ...",www.ctpost.com,2024-08-01 09:30:38+00:00,2024-08-01 11:12:51
110,Sturm Ruger &amp; Company Inc. filed SEC Form 8-K: Results of Operations and Financial ...,"STURM, RUGER & COMPANY, INC. (Exact Name of Registrant as Specified in its Charter). Delaware. (State or Other ...",quantisnow.com,2024-08-01 09:14:42+00:00,2024-08-01 11:12:51
111,"Sturm, Ruger &amp; Company, Inc. Reports Earnings Results for the Second Quarter and Six ...","Sturm, Ruger & Company, Inc. reported earnings results for the second quarter and six months ended June 29, 2024. For the second quarter, ...",www.marketscreener.com,2024-08-01 08:40:00+00:00,2024-08-01 11:12:51
112,Sturm Ruger &amp; Co Inc (RGR) Q2 2024 Earnings: EPS of $0.47 Misses - GuruFocus,"Sturm Ruger & Co Inc and its subsidiary are principally engaged in the design, manufacture, and sale of firearms to domestic customers. The company's ...",www.gurufocus.com,2024-08-01 03:31:36+00:00,2024-08-01 11:12:51
113,Topgolf Callaway Brands to Release Second Quarter 2024 Financial Results - Le Lézard,"Sturm, Ruger & Company, Inc. announced today that for the second quarter of 2024, net sales were $130.8 million and diluted earnings were 47¢ per ...",www.lelezard.com,2024-08-01 03:16:18+00:00,2024-08-01 11:12:51
114,"Sturm, Ruger &amp; Company, Inc. Reports Second Quarter Diluted Earnings of 47¢ Per ... - Stock Titan","Sturm, Ruger & Company (NYSE: RGR) reported Q2 2024 results with net sales of $130.8 million and diluted earnings of 47¢ per share, ...",www.stocktitan.net,2024-07-31 21:31:23+00:00,2024-08-01 11:12:51
