Ticker,Name,Sector,Cap,NameCln
LIN,Linde Plc.,Basic Materials,206652.0,Linde
GE,GE Aerospace,Industrials,184507.0,GE Aerospace
CAT,Caterpillar Inc.,Industrials,169442.0,Caterpillar
UNP,Union Pacific Corp.,Industrials,139724.0,Union Pacific
ETN,Eaton Corporation plc,Industrials,134877.0,Eaton
HON,Honeywell International Inc,Industrials,129703.0,Honeywell International
UPS,"United Parcel Service, Inc.",Industrials,118995.0,United Parcel Service
LMT,Lockheed Martin Corp.,Industrials,110007.0,Lockheed Martin
BA,Boeing Co.,Industrials,107479.0,Boeing
DE,Deere & Co.,Industrials,102789.0,Deere
ADP,Automatic Data Processing Inc.,Industrials,99581.0,Automatic Data Processing
WM,"Waste Management, Inc.",Industrials,82808.0,Waste Management
GD,General Dynamics Corp.,Industrials,81579.0,General Dynamics
FCX,Freeport-McMoRan Inc,Basic Materials,76927.0,Freeport-McMoRan
SHW,Sherwin-Williams Co.,Basic Materials,76503.0,Sherwin-Williams
TDG,Transdigm Group Incorporated,Industrials,73750.0,Transdigm Group
ITW,"Illinois Tool Works, Inc.",Industrials,70843.0,Illinois Tool Works
CTAS,Cintas Corporation,Industrials,68014.0,Cintas
PH,Parker-Hannifin Corp.,Industrials,67682.0,Parker-Hannifin
NOC,Northrop Grumman Corp.,Industrials,67409.0,Northrop Grumman
CSX,CSX Corp.,Industrials,65451.0,CSX
ECL,"Ecolab, Inc.",Basic Materials,65367.0,Ecolab
EMR,Emerson Electric Co.,Industrials,64104.0,Emerson Electric
FDX,Fedex Corp,Industrials,61038.0,Fedex
APD,Air Products & Chemicals Inc.,Basic Materials,58829.0,Air Products & Chemicals
RSG,"Republic Services, Inc.",Industrials,57793.0,Republic Services
ROP,Roper Technologies Inc,Industrials,57057.0,Roper Technologies
PCAR,Paccar Inc.,Industrials,56582.0,Paccar
MMM,3M Co.,Industrials,54606.0,3M
CPRT,"Copart, Inc.",Industrials,50742.0,Copart
NSC,Norfolk Southern Corp.,Industrials,50336.0,Norfolk Southern
JCI,Johnson Controls International plc,Industrials,48963.0,Johnson Controls International
NEM,Newmont Corp,Basic Materials,48893.0,Newmont
GWW,W.W. Grainger Inc.,Industrials,46081.0,WW Grainger
INFO,IHS Markit Ltd,Industrials,45801.0,IHS Markit
URI,"United Rentals, Inc.",Industrials,44266.0,United Rentals
PAYX,Paychex Inc.,Industrials,43293.0,Paychex
LHX,L3Harris Technologies Inc,Industrials,41515.0,L3Harris Technologies
PWR,"Quanta Services, Inc.",Industrials,40936.0,Quanta Services
DOW,Dow Inc,Basic Materials,40814.0,Dow Inc
NUE,Nucor Corp.,Basic Materials,40373.0,Nucor
AME,Ametek Inc,Industrials,38959.0,Ametek
CTVA,Corteva Inc,Basic Materials,38794.0,Corteva
CMI,Cummins Inc.,Industrials,38060.0,Cummins
IR,Ingersoll-Rand Inc,Industrials,37705.0,Ingersoll-Rand
ODFL,"Old Dominion Freight Line, Inc.",Industrials,37658.0,Old Dominion Freight Line
FAST,Fastenal Co.,Industrials,37078.0,Fastenal
VRSK,Verisk Analytics Inc,Industrials,35508.0,Verisk Analytics
MLM,"Martin Marietta Materials, Inc.",Basic Materials,35155.0,Martin Marietta Materials
DD,DuPont de Nemours Inc,Basic Materials,34322.0,DuPont de Nemours
XYL,Xylem Inc,Industrials,34030.0,Xylem
VMC,Vulcan Materials Co,Basic Materials,33589.0,Vulcan Materials
DAL,"Delta Air Lines, Inc.",Industrials,32446.0,Delta Air Lines
LYB,LyondellBasell Industries NV,Basic Materials,32142.0,LyondellBasell Industries NV
PPG,"PPG Industries, Inc.",Basic Materials,30391.0,PPG Industries
WAB,Westinghouse Air Brake Technologies Corp,Industrials,29760.0,Westinghouse Air Brake Technologies
ROK,Rockwell Automation Inc,Industrials,29481.0,Rockwell Automation
EFX,"Equifax, Inc.",Industrials,29235.0,Equifax
KSU,Kansas City Southern,Industrials,26711.0,Kansas City Southern
GPN,"Global Payments, Inc.",Industrials,25900.0,Global Payments
HEI,Heico Corp.,Industrials,25880.0,Heico
DOV,Dover Corp.,Industrials,25216.0,Dover
IFF,International Flavors & Fragrances Inc.,Basic Materials,24291.0,International Flavors & Fragrances
WSO,Watsco Inc.,Industrials,21920.0,Watsco
HUBB,Hubbell Inc.,Industrials,21349.0,Hubbell
STLD,Steel Dynamics Inc.,Basic Materials,21100.0,Steel Dynamics
WLK,Westlake Corporation,Basic Materials,20437.0,Westlake
CSL,Carlisle Companies Inc.,Industrials,20060.0,Carlisle
BAH,Booz Allen Hamilton Holding Corp,Industrials,19993.0,Booz Allen Hamilton
BLDR,Builders Firstsource Inc,Industrials,19857.0,Builders Firstsource
RS,Reliance Inc.,Basic Materials,19263.0,Reliance
EME,"Emcor Group, Inc.",Industrials,18501.0,Emcor Group
AVY,Avery Dennison Corp.,Industrials,18116.0,Avery Dennison
LII,Lennox International Inc,Industrials,17917.0,Lennox International
EXPD,"Expeditors International Of Washington, Inc.",Industrials,16822.0,Expeditors International Of Washington
TXT,Textron Inc.,Industrials,16680.0,Textron
UAL,United Airlines Holdings Inc,Industrials,16651.0,United Airlines
CE,Celanese Corp,Basic Materials,16521.0,Celanese
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,16345.0,JB Hunt Transport Services
AVTR,Avantor Inc.,Basic Materials,16105.0,Avantor
IEX,Idex Corporation,Industrials,15990.0,Idex
LUV,Southwest Airlines Co,Industrials,15871.0,Southwest Airlines
OC,Owens Corning,Industrials,15412.0,Owens Corning
ALB,Albemarle Corp.,Basic Materials,15015.0,Albemarle
MAS,Masco Corp.,Industrials,14862.0,Masco
TRU,TransUnion,Industrials,14569.0,TransUnion
CF,CF Industries Holdings Inc,Basic Materials,14387.0,CF Industries
SNA,"Snap-on, Inc.",Industrials,14203.0,Snap-on
RPM,"RPM International, Inc.",Basic Materials,14155.0,RPM International
NVT,nVent Electric plc,Industrials,13826.0,nVent Electric
GGG,Graco Inc.,Industrials,13453.0,Graco
NDSN,Nordson Corp.,Industrials,13377.0,Nordson
WMS,Advanced Drainage Systems Inc,Industrials,13350.0,Advanced Drainage Systems
PNR,Pentair plc,Industrials,13108.0,Pentair
SWK,Stanley Black & Decker Inc,Industrials,13067.0,Stanley Black & Decker
BLD,TopBuild Corp,Industrials,12824.0,TopBuild
XPO,XPO Inc,Industrials,12711.0,XPO
AOS,A.O. Smith Corp.,Industrials,12610.0,AO Smith
UHAL,U-Haul Holding Company,Industrials,12121.0,U-Haul
FIX,"Comfort Systems USA, Inc.",Industrials,12104.0,Comfort Systems USA
EMN,Eastman Chemical Co,Basic Materials,11851.0,Eastman Chemical
ACM,AECOM,Industrials,11771.0,AECOM
CLH,"Clean Harbors, Inc.",Industrials,11574.0,Clean Harbors
TTEK,"Tetra Tech, Inc.",Industrials,11422.0,Tetra Tech
PSN,Parsons Corp,Industrials,11354.0,Parsons
LECO,"Lincoln Electric Holdings, Inc.",Industrials,11346.0,Lincoln Electric
WWD,Woodward Inc,Industrials,11282.0,Woodward
ITT,ITT Inc,Industrials,10970.0,ITT
CW,Curtiss-Wright Corp.,Industrials,10634.0,Curtiss-Wright
SAIA,Saia Inc.,Industrials,10537.0,Saia
ALLE,Allegion plc,Industrials,10530.0,Allegion
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,10074.0,CH Robinson Worldwide
NLSN,Nielsen Holdings plc,Industrials,10068.0,Nielsen
MOS,Mosaic Company,Basic Materials,10005.0,Mosaic
HII,Huntington Ingalls Industries Inc,Industrials,9967.0,Huntington Ingalls Industries
WCC,"Wesco International, Inc.",Industrials,9430.0,Wesco International
TREX,"TREX Co., Inc.",Industrials,9425.0,TREX
GNRC,Generac Holdings Inc,Industrials,9169.0,Generac
KBR,KBR Inc,Industrials,8831.0,KBR
AAL,American Airlines Group Inc,Industrials,8818.0,American Airlines Group
DCI,Donaldson Co. Inc.,Industrials,8769.0,Donaldson
MTZ,Mastec Inc.,Industrials,8762.0,Mastec
RGLD,"Royal Gold, Inc.",Basic Materials,8591.0,Royal Gold
RBC,RBC Bearings Inc.,Industrials,8327.0,RBC Bearings
CR,Crane Co,Industrials,8304.0,Crane
TTC,Toro Co.,Industrials,8289.0,Toro
X,United States Steel Corp.,Basic Materials,8279.0,United States Steel
CLF,Cleveland-Cliffs Inc,Basic Materials,8055.0,Cleveland-Cliffs
BWXT,BWX Technologies Inc,Industrials,8038.0,BWX Technologies
AGCO,AGCO Corp.,Industrials,7922.0,AGCO
EXP,Eagle Materials Inc.,Basic Materials,7876.0,Eagle Materials
FMC,FMC Corp.,Basic Materials,7850.0,FMC
AYI,"Acuity Brands, Inc.",Industrials,7804.0,Acuity Brands
AA,Alcoa Corp,Basic Materials,7757.0,Alcoa
FCN,FTI Consulting Inc.,Industrials,7718.0,FTI Consulting
KNX,Knight-Swift Transportation Holdings Inc,Industrials,7699.0,Knight-Swift Transportation
AXTA,Axalta Coating Systems Ltd,Basic Materials,7687.0,Axalta Coating Systems
ATI,ATI Inc,Industrials,7631.0,ATI
AIT,Applied Industrial Technologies Inc.,Industrials,7561.0,Applied Industrial Technologies
WSC,WillScot Mobile Mini Holdings Corp,Industrials,7409.0,WillScot Mobile Mini
OSK,Oshkosh Corp,Industrials,7349.0,Oshkosh
UFPI,UFP Industries Inc,Basic Materials,7232.0,UFP Industries
FLR,Fluor Corporation,Industrials,7226.0,Fluor
MSA,MSA Safety Inc,Industrials,7165.0,MSA Safety
SSD,"Simpson Manufacturing Co., Inc.",Industrials,7120.0,Simpson Manufacturing
KEX,Kirby Corp.,Industrials,7107.0,Kirby
RHI,Robert Half Inc,Industrials,6875.0,Robert Half
SITE,SiteOne Landscape Supply Inc,Industrials,6867.0,SiteOne Landscape Supply
SUM,Summit Materials Inc,Basic Materials,6809.0,Summit Materials
GTLS,Chart Industries Inc,Industrials,6642.0,Chart Industries
MIDD,Middleby Corp.,Industrials,6618.0,Middleby
SPXC,SPX Technologies Inc,Industrials,6564.0,SPX Technologies
FLS,Flowserve Corp.,Industrials,6476.0,Flowserve
MLI,"Mueller Industries, Inc.",Industrials,6456.0,Mueller Industries
LPX,Louisiana-Pacific Corp.,Industrials,6427.0,Louisiana-Pacific
OLN,Olin Corp.,Basic Materials,6419.0,Olin
CMC,Commercial Metals Co.,Basic Materials,6411.0,Commercial Metals
AAON,AAON Inc.,Industrials,6386.0,AAON
LSTR,"Landstar System, Inc.",Industrials,6372.0,Landstar System
BECN,Beacon Roofing Supply Inc,Industrials,6138.0,Beacon Roofing Supply
ADT,ADT Inc,Industrials,6109.0,ADT
AQUA,Evoqua Water Technologies Corp,Industrials,6104.0,Evoqua Water Technologies
TKR,Timken Co.,Industrials,6030.0,Timken
IBP,Installed Building Products Inc,Industrials,5952.0,Installed Building Products
ESI,Element Solutions Inc,Basic Materials,5826.0,Element Solutions
HXL,Hexcel Corp.,Industrials,5796.0,Hexcel
BMI,Badger Meter Inc.,Industrials,5762.0,Badger Meter
BCPC,Balchem Corp.,Basic Materials,5714.0,Balchem
UNVR,Univar Solutions Inc,Basic Materials,5701.0,Univar Solutions
CWST,"Casella Waste Systems, Inc.",Industrials,5679.0,Casella Waste Systems
AVAV,AeroVironment Inc.,Industrials,5593.0,AeroVironment
CRS,Carpenter Technology Corp.,Industrials,5574.0,Carpenter Technology
CBT,Cabot Corp.,Basic Materials,5574.0,Cabot
WTS,"Watts Water Technologies, Inc.",Industrials,5568.0,Watts Water Technologies
IAA,IAA Inc,Industrials,5514.0,IAA
ATKR,Atkore Inc,Industrials,5493.0,Atkore
TNET,TriNet Group Inc,Industrials,5408.0,TriNet Group
BCC,Boise Cascade Co,Basic Materials,5370.0,Boise Cascade
AL,Air Lease Corp,Industrials,5330.0,Air Lease
ALK,Alaska Air Group Inc.,Industrials,5296.0,Alaska Air Group
R,"Ryder System, Inc.",Industrials,5288.0,Ryder System
FSS,Federal Signal Corp.,Industrials,5268.0,Federal Signal
DY,"Dycom Industries, Inc.",Industrials,5177.0,Dycom Industries
MMS,Maximus Inc.,Industrials,5146.0,Maximus
MDU,MDU Resources Group Inc,Basic Materials,5144.0,MDU Resources Group
NEU,NewMarket Corp.,Basic Materials,5141.0,NewMarket
VMI,"Valmont Industries, Inc.",Industrials,5076.0,Valmont Industries
AWI,Armstrong World Industries Inc.,Industrials,5058.0,Armstrong World Industries
ASH,Ashland Inc,Basic Materials,5018.0,Ashland
MSM,"MSC Industrial Direct Co., Inc.",Industrials,4853.0,MSC Industrial Direct
GATX,GATX Corp.,Industrials,4810.0,GATX
EXPO,Exponent Inc.,Industrials,4802.0,Exponent
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,4683.0,Aerojet Rocketdyne
GRA,W.R. Grace & Co.,Basic Materials,4638.0,WR Grace
SRCL,Stericycle Inc.,Industrials,4589.0,Stericycle
GTES,Gates Industrial Corporation plc,Industrials,4574.0,Gates Industrial
BCO,Brink`s Co.,Industrials,4556.0,Brink's
FELE,"Franklin Electric Co., Inc.",Industrials,4517.0,Franklin Electric
VRRM,Verra Mobility Corp,Industrials,4461.0,Verra Mobility
NAV,Navistar International Corp.,Industrials,4439.0,Navistar International
WIRE,Encore Wire Corp.,Industrials,4390.0,Encore Wire
TRTN,Triton International Ltd,Industrials,4380.0,Triton International
ENS,Enersys,Industrials,4313.0,Enersys
MATX,Matson Inc,Industrials,4306.0,Matson
HUN,Huntsman Corp,Basic Materials,4295.0,Huntsman
ASGN,ASGN Inc,Industrials,4292.0,ASGN
FUL,H.B. Fuller Company,Basic Materials,4271.0,HB Fuller
ACA,Arcosa Inc,Industrials,4237.0,Arcosa
TEX,Terex Corp.,Industrials,4027.0,Terex
AEIS,Advanced Energy Industries Inc.,Industrials,4025.0,Advanced Energy Industries
CSWI,CSW Industrials Inc,Industrials,4019.0,CSW Industrials
HRI,Herc Holdings Inc,Industrials,3999.0,Herc
CC,Chemours Company,Basic Materials,3968.0,Chemours
CAR,Avis Budget Group Inc,Industrials,3965.0,Avis Budget Group
BDC,Belden Inc,Industrials,3937.0,Belden
CBZ,Cbiz Inc,Industrials,3858.0,Cbiz
STRL,Sterling Infrastructure Inc,Industrials,3761.0,Sterling Infrastructure
