Ticker,Name,Sector,Cap,NameCln
EE,Excelerate Energy Inc,Utilities,429.0,Excelerate Energy
SES,SES AI Corporation,Energy,404.0,SES AI
GNE,Genie Energy Ltd,Utilities,382.0,Genie Energy
REI,Ring Energy Inc,Energy,378.0,Ring Energy
FTSI,FTS International Inc.,Energy,365.0,FTS International
GDP,Goodrich Petroleum Corp.,Energy,331.0,Goodrich Petroleum
WTI,W & T Offshore Inc,Energy,330.0,W & T Offshore
ARTNA,Artesian Resources Corp.,Utilities,325.0,Artesian Resources
GWRS,Global Water Resources Inc,Utilities,305.0,Global Water Resources
OIS,"Oil States International, Inc.",Energy,300.0,Oil States International
MTRX,Matrix Service Co.,Energy,299.0,Matrix Service
HNRG,Hallador Energy Co,Energy,272.0,Hallador Energy
SOI,Solaris Oilfield Infrastructure Inc,Energy,272.0,Solaris Oilfield Infrastructure
NGS,"Natural Gas Services Group, Inc.",Energy,270.0,Natural Gas Services Group
BOOM,DMC Global Inc,Energy,268.0,DMC Global
PCYO,Pure Cycle Corp.,Utilities,225.0,Pure Cycle
FET,Forum Energy Technologies Inc,Energy,224.0,Forum Energy Technologies
CDZI,Cadiz Inc.,Utilities,216.0,Cadiz
PNRG,PrimeEnergy Resources Corp,Energy,214.0,PrimeEnergy Resources
RGCO,"RGC Resources, Inc.",Utilities,209.0,RGC Resources
NC,Nacco Industries Inc.,Energy,193.0,Nacco Industries
EPM,Evolution Petroleum Corporation,Energy,190.0,Evolution Petroleum
TUSK,Mammoth Energy Services Inc,Energy,176.0,Mammoth Energy Services
LONE,Lonestar Resources US Inc,Energy,162.0,Lonestar Resources US
AMTX,Aemetis Inc,Energy,159.0,Aemetis
EXTN,Exterran Corp,Energy,153.0,Exterran
GEOS,Geospace Technologies Corp,Energy,138.0,Geospace Technologies
PHX,PHX Minerals Inc,Energy,127.0,PHX Minerals
GIFI,"Gulf Island Fabrication, Inc.",Energy,114.0,Gulf Island Fabrication
FTK,Flotek Industries Inc,Energy,109.0,Flotek Industries
VTNR,Vertex Energy Inc,Energy,105.0,Vertex Energy
SND,Smart Sand Inc,Energy,94.0,Smart Sand
KLXE,KLX Energy Services Holdings Inc,Energy,90.0,KLX Energy Services
CRT,Cross Timbers Royalty Trust,Energy,83.0,Cross Timbers Royalty Trust
PED,PEDEVCO Corp,Energy,83.0,PEDEVCO
SLNG,Stabilis Solutions Inc,Energy,76.0,Stabilis Solutions
PFIE,Profire Energy Inc,Energy,72.0,Profire Energy
AE,Adams Resources & Energy Inc.,Energy,68.0,Adams Resources & Energy
DWSN,Dawson Geophysical Company,Energy,62.0,Dawson Geophysical
NINE,Nine Energy Service Inc,Energy,59.0,Nine Energy Service
PRT,PermRock Royalty Trust,Energy,47.0,PermRock Royalty Trust
NCSM,NCS Multistage Holdings Inc,Energy,45.0,NCS Multistage
SDPI,Superior Drilling Products Inc,Energy,40.0,Superior Drilling Products
CEI,Camber Energy Inc,Energy,31.0,Camber Energy
USEG,U.S. Energy Corp.,Energy,28.0,US Energy
CKX,CKX Lands Inc,Energy,28.0,CKX Lands
BRN,Barnwell Industries Inc.,Energy,28.0,Barnwell Industries
ICD,Independence Contract Drilling Inc,Energy,22.0,Independence Contract Drilling
HPR,HighPoint Resources Corp,Energy,20.0,HighPoint Resources
