Ticker,Name,Sector,Cap,NameCln
CNNE,Cannae Holdings Inc,Consumer Cyclical,1188.0,Cannae
SBH,Sally Beauty Holdings Inc,Consumer Cyclical,1186.0,Sally Beauty
UVV,Universal Corp.,Consumer Defensive,1154.0,Universal
PLYA,Playa Hotels & Resorts N.V.,Consumer Cyclical,1123.0,Playa Hotels & Resorts NV
FDP,Fresh Del Monte Produce Inc,Consumer Defensive,1109.0,Fresh Del Monte Produce
EYE,National Vision Holdings Inc,Consumer Cyclical,1108.0,National Vision
WWW,"Wolverine World Wide, Inc.",Consumer Cyclical,1100.0,Wolverine World Wide
HLF,Herbalife Ltd,Consumer Defensive,1082.0,Herbalife
IMKTA,"Ingles Markets, Inc.",Consumer Defensive,1052.0,Ingles Markets
JACK,"Jack In The Box, Inc.",Consumer Cyclical,1044.0,Jack In The Box
CBRL,Cracker Barrel Old Country Store Inc,Consumer Cyclical,1035.0,Cracker Barrel Old Country Store
OSTK,Beyond Inc,Consumer Cyclical,1028.0,Beyond
HIBB,Hibbett Inc,Consumer Cyclical,1019.0,Hibbett
SCVL,"Shoe Carnival, Inc.",Consumer Cyclical,1002.0,Shoe Carnival
CHS,"Chico`s Fas, Inc.",Consumer Cyclical,937.0,Chico's Fas
JBSS,"Sanfilippo (John B.) & Son, Inc",Consumer Defensive,909.0,John B Sanfilippo & Son
CWH,Camping World Holdings Inc,Consumer Cyclical,902.0,Camping World
TILE,Interface Inc.,Consumer Cyclical,900.0,Interface
USNA,Usana Health Sciences Inc,Consumer Defensive,894.0,Usana Health Sciences
BZH,Beazer Homes USA Inc.,Consumer Cyclical,880.0,Beazer Homes USA
UTI,Universal Technical Institute Inc,Consumer Defensive,880.0,Universal Technical Institute
AXL,American Axle & Manufacturing Holdings Inc,Consumer Cyclical,876.0,American Axle & Manufacturing
GDEN,Golden Entertainment Inc,Consumer Cyclical,846.0,Golden Entertainment
BJRI,BJ`s Restaurant Inc.,Consumer Cyclical,816.0,BJ's Restaurant
HOV,"Hovnanian Enterprises, Inc.",Consumer Cyclical,775.0,Hovnanian Enterprises
BGS,"B&G Foods, Inc",Consumer Defensive,749.0,B&G Foods
MBUU,Malibu Boats Inc,Consumer Cyclical,743.0,Malibu Boats
MNRO,Monro Inc,Consumer Cyclical,710.0,Monro
UNFI,United Natural Foods Inc.,Consumer Defensive,701.0,United Natural Foods
SPTN,SpartanNash Co,Consumer Defensive,698.0,SpartanNash
MLR,Miller Industries Inc.,Consumer Cyclical,677.0,Miller Industries
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,669.0,Standard Motor Products
NUS,"Nu Skin Enterprises, Inc.",Consumer Defensive,663.0,Nu Skin Enterprises
HAIN,Hain Celestial Group Inc,Consumer Defensive,633.0,Hain Celestial Group
HZO,"Marinemax, Inc.",Consumer Cyclical,611.0,Marinemax
BH,Biglari Holdings Inc.,Consumer Cyclical,604.0,Biglari
DIN,Dine Brands Global Inc,Consumer Cyclical,590.0,Dine Brands Global
LQDT,Liquidity Services Inc,Consumer Cyclical,584.0,Liquidity Services
PLOW,Douglas Dynamics Inc,Consumer Cyclical,582.0,Douglas Dynamics
TPB,Turning Point Brands Inc,Consumer Defensive,576.0,Turning Point Brands
MYE,Myers Industries Inc.,Consumer Cyclical,573.0,Myers Industries
LEGH,Legacy Housing Corp,Consumer Cyclical,567.0,Legacy Housing
EVRI,Everi Holdings Inc,Consumer Cyclical,563.0,Everi
SMRT,SmartRent Inc,Consumer Cyclical,519.0,SmartRent
NGVC,Natural Grocers by Vitamin Cottage Inc,Consumer Defensive,478.0,Natural Grocers by Vitamin Cottage
DBI,Designer Brands Inc,Consumer Cyclical,477.0,Designer Brands
CVGW,"Calavo Growers, Inc",Consumer Defensive,469.0,Calavo Growers
BYND,Beyond Meat Inc,Consumer Defensive,465.0,Beyond Meat
BBW,Build A Bear Workshop Inc,Consumer Cyclical,455.0,Build A Bear Workshop
SRI,Stoneridge Inc.,Consumer Cyclical,453.0,Stoneridge
