Ticker,Name,Sector,Cap,NameCln
MSFT,Microsoft Corporation,Technology,3198270.0,Microsoft
AAPL,Apple Inc,Technology,2913322.0,Apple
NVDA,NVIDIA Corp,Technology,2801776.0,NVIDIA
GOOGL,Alphabet Inc,Communication Services,2224228.0,Alphabet
AVGO,Broadcom Inc,Technology,654559.0,Broadcom
FB,Meta Platforms Inc,Communication Services,561211.0,Meta
ORCL,Oracle Corp.,Technology,342161.0,Oracle
NFLX,Netflix Inc.,Communication Services,286725.0,Netflix
AMD,Advanced Micro Devices Inc.,Technology,277376.0,Advanced Micro Devices
CRM,Salesforce Inc,Technology,261195.0,Salesforce
QCOM,"Qualcomm, Inc.",Technology,237797.0,Qualcomm
ADBE,Adobe Inc,Technology,214337.0,Adobe
ACN,Accenture plc,Technology,199605.0,Accenture
TMUS,T-Mobile US Inc,Communication Services,196063.0,T-Mobile US
DIS,Walt Disney Co (The),Communication Services,186753.0,Walt Disney
CSCO,"Cisco Systems, Inc.",Technology,186454.0,Cisco Systems
AMAT,Applied Materials Inc.,Technology,183247.0,Applied Materials
TXN,Texas Instruments Inc.,Technology,181732.0,Texas Instruments
INTU,Intuit Inc,Technology,167734.0,Intuit
VZ,Verizon Communications Inc,Communication Services,165676.0,Verizon Communications
IBM,International Business Machines Corp.,Technology,155850.0,International Business Machines
CMCSA,Comcast Corp,Communication Services,150853.0,Comcast
NOW,ServiceNow Inc,Technology,149416.0,ServiceNow
MU,Micron Technology Inc.,Technology,146915.0,Micron Technology
INTC,Intel Corp.,Technology,132222.0,Intel
LRCX,Lam Research Corp.,Technology,126984.0,Lam Research
T,"AT&T, Inc.",Communication Services,123135.0,AT&T
DELL,Dell Technologies Inc,Technology,118546.0,Dell Technologies
UBER,Uber Technologies Inc,Technology,118205.0,Uber
ADI,Analog Devices Inc.,Technology,115837.0,Analog Devices
KLAC,KLA Corp.,Technology,105846.0,KLA
PANW,Palo Alto Networks Inc,Technology,99734.0,Palo Alto Networks
ANET,Arista Networks Inc,Technology,96356.0,Arista Networks
SNPS,"Synopsys, Inc.",Technology,90082.0,Synopsys
CDNS,"Cadence Design Systems, Inc.",Technology,80609.0,Cadence Design Systems
APH,Amphenol Corp.,Technology,80469.0,Amphenol
MRVL,Marvell Technology Inc,Technology,67793.0,Marvell Technology
VMW,Vmware Inc.,Technology,61523.0,Vmware
MSI,Motorola Solutions Inc,Technology,60030.0,Motorola Solutions
DISCK,Warner Bros.Discovery Inc,Communication Services,59712.0,Warner BrosDiscovery
MCHP,"Microchip Technology, Inc.",Technology,53055.0,Microchip Technology
TEL,TE Connectivity Ltd,Technology,46057.0,TE Connectivity
WDAY,Workday Inc,Technology,45758.0,Workday
FTNT,Fortinet Inc,Technology,45416.0,Fortinet
ADSK,Autodesk Inc.,Technology,45347.0,Autodesk
