Ticker,Name,Sector,Cap,NameCln
JPM,JPMorgan Chase & Co.,Financial Services,572898.0,JPMorgan Chase
V,Visa Inc,Financial Services,512265.0,Visa Inc
MA,Mastercard Incorporated,Financial Services,410573.0,Mastercard
BAC,Bank Of America Corp.,Financial Services,307497.0,Bank Of America
WFC,Wells Fargo & Co.,Financial Services,217624.0,Wells Fargo
AXP,American Express Co.,Financial Services,170655.0,American Express
MS,Morgan Stanley,Financial Services,160355.0,Morgan Stanley
GS,"Goldman Sachs Group, Inc.",Financial Services,148272.0,Goldman Sachs Group
SPGI,S&P Global Inc,Financial Services,143220.0,S&P Global
SCHW,Charles Schwab Corp.,Financial Services,125814.0,Charles Schwab
PGR,Progressive Corp.,Financial Services,120174.0,Progressive
C,Citigroup Inc,Financial Services,119120.0,Citigroup
BLK,Blackrock Inc.,Financial Services,114632.0,Blackrock
CB,Chubb Limited,Financial Services,106648.0,Chubb Limited
MMC,"Marsh & McLennan Cos., Inc.",Financial Services,100501.0,Marsh & McLennan
PLD,Prologis Inc,Real Estate,97214.0,Prologis
KKR,KKR & Co. Inc,Financial Services,90661.0,KKR
AMT,American Tower Corp.,Real Estate,86404.0,American Tower
ICE,Intercontinental Exchange Inc,Financial Services,76677.0,Intercontinental Exchange
CME,CME Group Inc,Financial Services,74997.0,CME Group
MCO,Moody`s Corp.,Financial Services,74099.0,Moody's
EQIX,Equinix Inc,Real Estate,72955.0,Equinix
PYPL,PayPal Holdings Inc,Financial Services,65033.0,PayPal
USB,U.S. Bancorp.,Financial Services,62059.0,US Bancorp
AON,Aon plc.,Financial Services,60720.0,Aon
PNC,PNC Financial Services Group Inc,Financial Services,60617.0,PNC Financial Services Group
WELL,Welltower Inc.,Real Estate,60288.0,Welltower
AJG,Arthur J. Gallagher & Co.,Financial Services,54260.0,Arthur J Gallagher
COF,Capital One Financial Corp.,Financial Services,51943.0,Capital One Financial
AIG,American International Group Inc,Financial Services,51341.0,American International Group
MET,Metlife Inc,Financial Services,50476.0,Metlife
AFL,Aflac Inc.,Financial Services,49583.0,Aflac
TRV,Travelers Companies Inc.,Financial Services,48173.0,Travelers
SPG,"Simon Property Group, Inc.",Real Estate,47971.0,Simon Property Group
PSA,Public Storage.,Real Estate,47560.0,Public Storage
DLR,Digital Realty Trust Inc,Real Estate,44918.0,Digital Realty Trust
O,Realty Income Corp.,Real Estate,44906.0,Realty Income
BK,Bank Of New York Mellon Corp,Financial Services,43553.0,Bank Of New York Mellon
ALL,Allstate Corp (The),Financial Services,43459.0,Allstate
AMP,Ameriprise Financial Inc,Financial Services,43203.0,Ameriprise Financial
COR,Cencora Inc.,Real Estate,43123.0,Cencora
CCI,Crown Castle Inc,Real Estate,42453.0,Crown Castle
PRU,Prudential Financial Inc.,Financial Services,42265.0,Prudential Financial
MSCI,MSCI Inc,Financial Services,39271.0,MSCI
ACGL,Arch Capital Group Ltd,Financial Services,38394.0,Arch Capital Group
NDAQ,Nasdaq Inc,Financial Services,34627.0,Nasdaq
CSGP,"Costar Group, Inc.",Real Estate,33999.0,Costar Group
DFS,Discover Financial Services,Financial Services,30528.0,Discover Financial Services
EXR,Extra Space Storage Inc.,Real Estate,30141.0,Extra Space Storage
HIG,Hartford Financial Services Group Inc.,Financial Services,29673.0,Hartford Financial Services Group
VICI,VICI Properties Inc,Real Estate,29480.0,VICI Properties
ARES,Ares Management Corp,Financial Services,27598.0,Ares Management
AVB,Avalonbay Communities Inc.,Real Estate,27335.0,Avalonbay Communities
CBRE,CBRE Group Inc,Real Estate,26620.0,CBRE Group
TROW,T. Rowe Price Group Inc.,Financial Services,25976.0,T Rowe Price Group
RJF,"Raymond James Financial, Inc.",Financial Services,25607.0,Raymond James Financial
FITB,Fifth Third Bancorp,Financial Services,25091.0,Fifth Third Bancorp
BRO,"Brown & Brown, Inc.",Financial Services,24982.0,Brown & Brown
MTB,M & T Bank Corp,Financial Services,24831.0,M & T Bank
EQR,Equity Residential Properties Trust,Real Estate,24534.0,Equity Residential Properties Trust
FCNCA,"First Citizens Bancshares, Inc (NC)",Financial Services,24049.0,First Citizens Bancshares
IRM,Iron Mountain Inc.,Real Estate,23304.0,Iron Mountain
STT,State Street Corp.,Financial Services,22266.0,State Street
WY,Weyerhaeuser Co.,Real Estate,21696.0,Weyerhaeuser
LPLA,LPL Financial Holdings Inc,Financial Services,21131.0,LPL Financial
INVH,Invitation Homes Inc,Real Estate,20869.0,Invitation Homes
MKL,Markel Group Inc,Financial Services,20852.0,Markel Group
ARE,Alexandria Real Estate Equities Inc.,Real Estate,20456.0,Alexandria Real Estate Equities
SBAC,SBA Communications Corp,Real Estate,20123.0,SBA Communications
WRB,W.R. Berkley Corp.,Financial Services,20087.0,WR Berkley
HBAN,"Huntington Bancshares, Inc.",Financial Services,19797.0,Huntington Bancshares
VTR,Ventas Inc,Real Estate,19097.0,Ventas
PFG,Principal Financial Group Inc,Financial Services,19013.0,Principal Financial Group
CBOE,Cboe Global Markets Inc.,Financial Services,18807.0,Cboe Global Markets
DRE,Duke Realty Corp,Real Estate,18557.0,Duke Realty
CINF,Cincinnati Financial Corp.,Financial Services,18120.0,Cincinnati Financial
RF,Regions Financial Corp.,Financial Services,17456.0,Regions Financial
ERIE,Erie Indemnity Co.,Financial Services,17454.0,Erie Indemnity
SYF,Synchrony Financial,Financial Services,17355.0,Synchrony Financial
NTRS,Northern Trust Corp.,Financial Services,16793.0,Northern Trust
ESS,"Essex Property Trust, Inc.",Real Estate,16394.0,Essex Property Trust
L,Loews Corp.,Financial Services,16375.0,Loews
FDS,Factset Research Systems Inc.,Financial Services,16277.0,Factset Research Systems
ATH,Athene Holding Ltd,Financial Services,16011.0,Athene
